ward_id,tot_p,p_06,child_pct,source
A,185014,18283,9.882,census2011_pca_ward
B,127290,12271,9.6402,census2011_pca_ward
C,166161,11454,6.8933,census2011_pca_ward
D,346866,23423,6.7528,census2011_pca_ward
E,393286,37199,9.4585,census2011_pca_ward
F/N,529034,52586,9.94,census2011_pca_ward
F/S,360972,30517,8.4541,census2011_pca_ward
G/N,599039,57020,9.5186,census2011_pca_ward
G/S,377749,30133,7.977,census2011_pca_ward
H/E,557239,54981,9.8667,census2011_pca_ward
H/W,307581,24008,7.8054,census2011_pca_ward
K/E,823885,74083,8.9919,census2011_pca_ward
K/W,748688,67498,9.0155,census2011_pca_ward
L,902225,103641,11.4873,census2011_pca_ward
M/E,807720,105741,13.0913,census2011_pca_ward
M/W,411893,41321,10.032,census2011_pca_ward
N,622853,61073,9.8054,census2011_pca_ward
P/N,941366,100079,10.6313,census2011_pca_ward
P/S,463507,44172,9.53,census2011_pca_ward
R/C,562162,44881,7.9836,census2011_pca_ward
R/N,431368,40719,9.4395,census2011_pca_ward
R/S,691229,65716,9.5071,census2011_pca_ward
S,743783,75168,10.1062,census2011_pca_ward
T,341463,27803,8.1423,census2011_pca_ward
